place_ID,place_name
Q334,Singapore
Q3341906,Nimmitabel
Q3348059,Oberon
Q3379736,Trawalla
Q339527,Launceston
Q33986,Valparaíso
Q3410,Hertfordshire
Q3422682,Red Cliffs
Q3425090,Yackandandah
Q3433521,Riverton
Q3437510,Kingswood
Q3437662,Rochester
Q34647,Johannesburg
Q34664,Hiroshima
Q34932,Brisbane
Q3496549,Hurstville
Q350,Cambridge
Q35001,Lismore
Q3500595,Stroud
Q3515745,Tarlee
Q3528066,Tiaro
Q3528414,Tilba
Q3531970,Toodyay
Q3565483,Wallaroo
Q3566378,Warren
Q3567822,Whitton
Q3571892,Yarrawonga
Q36074,Queensland
Q36405,Aberdeen
Q3644691,Brighton
Q36687,Victoria
Q36704,Yugoslavia
Q3679103,Claremont
Q368304,Manilla
Q37100,Auckland
Q3717659,East Fremantle
Q3723370,Elizabeth
Q37320,Cleveland
Q3740854,Everton
Q3764261,Gilberton
Q3772642,Gnowangerup
Q3773429,Goomalling
Q377975,Maryborough
Q3785320,Wolferlow
Q3806782,Jamestown
Q3814382,Kellerberrin
Q3829397,Leederville
Q385060,Camberwell
Q385155,Penrith
Q385907,Campbells Creek
Q385934,Westbury
Q38825,Montgomeryshire
Q3908652,Port Adelaide
Q3945542,Salisbury
Q3965520,South Melbourne
Q3976501,Subiaco
Q4005998,Unley
Q40191,Hobart
Q408536,Airdrie
Q4093,Glasgow
Q4131,Hamilton
Q420303,Montrose
Q42322463,Nile
Q42462,York
Q427374,St George
Q42898333,Clear Lake
Q43375881,Castra
Q43382,Plymouth
Q437,Ljubljana
Q4378854,Carey Gully
Q459600,Wagga Wagga
Q459768,Kenmore
Q459900,Port Fairy
Q4601403,Stanmore
Q4640202,Lostock Gralam
Q4681743,Adelaide Lead
Q47002,Carlton
Q4712260,Alberton
Q4712262,Alberton
Q4713821,Aldinga
Q4746003,Amherst
Q478147,Northam
Q478302,Toowoomba
Q4794512,Arncliffe
Q4804757,Ashcroft
Q4851462,Ballarat East
Q4852375,Balmoral
Q4853301,Bamawm
Q4858151,Baradine
Q4861090,Barkly
Q4884453,Belmore
Q4894752,Berry
Q489948,Patti
Q4903676,Bickley
Q492231,Naracoorte
Q4930845,Blyth
Q4943362,Booleroo Centre
Q4950729,Bowden
Q4951523,Box Hill
Q4957725,Branxholme
Q497793,Bendigo
Q4984998,Buderim
Q4996408,Bulimba
Q4996904,Bulli
Q5021396,Calista
Q5022197,Callington
Q5028192,Campbellfield
Q5039632,Caringbah
Q5042941,Carlton
Q5043042,Carlton North
Q5054509,Caulfield
Q5087800,Chatswood
Q5090176,Cheltenham
Q509716,Manly
Q5112,Adelaide
Q5133240,Clifton Hill
Q5150359,Colyton
Q516122,St Marys
Q5169438,Coraki
Q518689,Mount Pleasant
Q5189247,Crowlands
Q5261403,Derby
Q5282204,Dishergarh
Q5292120,Don
Q530296,Lanarkshire
Q530643,Angaston
Q5309255,Drummoyne
Q5326560,Earlwood
Q5327944,East Brisbane
Q5328922,East Maitland
Q5328965,East Melbourne
Q5337932,Edgeworth
Q5367746,Elsternwick
Q5377277,Enfield
Q5383865,Epping
Q5397972,Esk
Q54212,Barnsley
Q5430228,Fairfield
Q54636,Platì
Q5465,Cape Town
Q5466574,Footscray
Q5468,Durban
Q5491176,Franklin
Q550606,Wigtownshire
Q5516754,Gaffneys Creek
Q5524534,Garvoc
Q5532007,General Lying-In Hospital
Q5575646,Gocup
Q5584124,Gooseberry Hill
Q5596852,Granville
Q5615787,Guildford
Q5618116,Gumeracha
Q5644763,Hamilton
Q5644794,Hamilton
Q5653118,Happy Valley
Q5666483,Harrow
Q5685475,Hawthorn
Q57278,Newcastle
Q576377,Port Broughton
Q5766124,Hindmarsh
Q580,Łódź
Q580973,Orange
Q581029,Meekatharra
Q581659,Macksville
Q5874777,Hobart
Q587996,Cowes
Q59819,Mudgee
Q604283,Coffs Harbour
Q605113,Gosford
Q605235,Goulburn
Q605267,Geraldton
Q605513,Parkes
Q60555164,Killurin
Q605944,Yea
Q605972,Kingaroy
Q606153,Port Macquarie
Q606162,Rockhampton
Q606169,Armidale
Q606212,Fremantle
Q606268,Port Lincoln
Q606288,Port Augusta
Q606294,Broome
Q606307,Wodonga
Q606335,Mount Isa
Q606344,Tweed Heads
Q606357,Cessnock
Q606385,Queanbeyan
Q606900,Maitland
Q6127792,Jamberoo
Q6160942,Jarrahdale
Q62,San Francisco
Q621540,Appleby-in-Westmorland
Q6225,Coventry
Q623687,Falkirk
Q626295,Ararat
Q6270744,Pennant Hills
Q6272440,St Leonards
Q6272504,Woolwich
Q630336,Deloraine
Q633811,Pézenas
Q63761,Gladstone
Q6386669,Kelvin Grove
Q6395265,Keswick
Q6406020,Kihikihi
Q6406679,Kilcoy
Q642631,Busselton
Q6432497,Koroit
Q643750,Wiluna
Q645439,Loxton
Q646980,Aldershot
Q647356,Coburg
Q6481586,Lambton
Q649838,Aston
Q6510011,Learmonth
Q6517662,Legana
Q652101,Wicklow
Q6537979,Leyburn
Q6554885,Linton
Q6559021,Lismore
Q664060,Cloncurry
Q6665087,Lochee
Q6681321,Lorn
Q6723005,Macdonaldtown
Q672948,Leven
Q6736262,Maindample
Q6745046,Malvern
Q676441,Armadale
Q6787277,Mathinna
Q6804798,Meckering
Q680984,Bellshill
Q6811747,Melbourne
Q6836647,Michelago
Q6841607,Middle Swan
Q686,Vanuatu
Q6867874,Minlaton
Q6881033,Mitcham
Q6881034,Mitcham
Q6881097,Mitchell
Q6887880,Moculta
Q6890652,Mogo
Q6908458,Mooroopna
Q6913331,Morpeth
Q691685,Kirkcaldy
Q6919889,Mount Bryan
Q6921698,Mount Kokeby
Q6921777,Mount Lawley
Q6922714,Mount Perry
Q6927678,Moyhu
Q6939645,Murrumburrah
Q704257,Albany
Q704371,Mackay
Q704978,Bathurst
Q7053663,North Adelaide
Q7056074,North Melbourne
Q7056320,North Perth
Q705699,Gladstone
Q705705,Devonport
Q7057754,Northcote
Q705829,Mildura
Q705867,Warrnambool
Q706105,Dubbo
Q707030,Shepparton
Q7073771,Oakbank
Q7073851,Oakey
Q7111326,Ouse
Q7140469,Partick
Q7161215,Pelaw Main
Q7199097,Pitt Town
Q721784,Bordertown
Q72216,Kew
Q7230552,Clinton
Q723315,Kilmun
Q723342,Ascot Vale
Q724182,St Ives
Q7263249,Pyramid Hill
Q728065,Northampton
Q7284123,Railton
Q7284555,Rainbow
Q732519,St Kew
Q733414,Elbeuf
Q736785,Morpeth
Q7367886,Rose Park
Q7368751,Rosewater
Q739912,Dunolly
Q7417154,Sandy Bay
Q743940,Lewisham
Q744726,Abernethy
Q744821,Lobethal
Q746623,Renmark
Q746718,Birkenhead
Q747599,Covington
Q749,Groningen
Q749665,Nyeri County
Q753512,Eurobodalla Shire
Q7553567,Sofala
Q755507,Atherton
Q7568224,South Pine River
Q7580566,Spring Hill
Q7580824,Springburn
Q7581218,Springvale
Q7593530,"St John's, Woking"
Q7611044,Stepney
Q7622017,Strathalbyn
Q762430,Hamilton
Q7646816,Surrey Hills
Q7683821,Tantanoola
Q7796458,Thornleigh
Q7824058,Toolamba
Q7851242,Tudhoe
Q7878285,Ukerebagh Island
Q7897035,Unley Park
Q791235,Avoca
Q793283,Ayrshire
Q7960016,Waikerie
Q7963243,Wallsend
Q7967255,Wandiligong
Q7968806,Waratah
Q7974524,Watervale
Q7983051,Wentworthville
Q79848,Southampton
Q7986202,West Perth
Q7994799,White Hills
Q7998371,Wickham
Q79990,Christchurch
Q8022730,Wilmington
Q8025212,Wingham
Q8026964,Wirrabara
Q8034014,Woonona
Q803960,Bairnsdale
Q8046464,Yacka
Q805263,Ballina
Q808105,Barfold
Q809009,Barry
Q823531,St Kilda
Q823600,Chesterfield
Q828526,Murwillumbah
Q84,London
Q854,Sri Lanka
Q8564806,Forth
Q863749,Bingara
Q8646,Hong Kong
Q864668,Caithness
Q8686,Shanghai
Q87,Alexandria
Q8738,Meissen
Q890557,Boggabri
Q895407,Bowen
Q909858,Randwick
Q915776,Brighton
Q916063,Wynyard
Q918787,Cramlington
Q935702,Oban
Q9383359,Yanyarrie
Q9384205,Jeparit
Q938581,Flinders Island
Q941931,Longford
Q942084,Harrington
Q942732,Warragul
Q953871,Opotiki
Q954956,Wau
Q955941,Mona Vale
Q956807,Leeton
Q964970,Adelong
Q965020,Petersham
Q967166,Hythe
Q967804,Feakle
Q9681,Hertford
Q974074,Whakatane
Q976153,Ingham
Q983647,Southern Cross
Q984138,Quorn
Q984146,Katanning
Q984379,Summerland
Q985161,Leonora
Q985273,Chinchilla
Q985428,Yarram
Q985485,Epping
Q985751,Quilpie
Q985768,Norwood
Q986063,Mount Magnet
Q986654,Swansea
Q989616,Hove
Q990236,Warialda
Q990481,Guyra
Q992412,Creswick
Q993309,Latrobe
Q994000,York
Q995005,Narrogin
Q996516,Crosshouse
Q999473,Temora
