name,born,died,page
"BATEMAN, ALLEN ROBERT  ",21 FEBRUARY 1904,12 AUGUST 1994),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1006
"BATES, WILLIAM  ",27 FEBRUARY 1826,12 JANUARY 1891),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/200
"BATH, EDWIN GEORGE  ",23 SEPTEMBER 1873,12 MARCH 1948),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1007
"BAUER, DONNA  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1701
"BAXTER, WILLIAM ROBERT  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1009
"BAYLES, WILLIAM  ",01 NOVEMBER 1820,08 OCTOBER 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/261
"BAYLES, NORMAN  ",01 FEBRUARY 1865,25 SEPTEMBER 1946),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1010
"BAYLOR,  GRACIA HILDA  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1012
"BEANEY, JAMES GEORGE  ",15 JANUARY 1828,30 JUNE 1891),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/262
"BEAR, JOHN PINNEY  ",13 NOVEMBER 1823,27 OCTOBER 1889),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/203
"BEARD, HENRY ELISHA  ",20 JANUARY 1866,18 DECEMBER 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1011
"BEARD, DYMPNA ANNE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1694
"BEARDMORE, HENRY  ",07 FEBRUARY 1863,29 AUGUST 1932),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1013
"BEATTIE, ELIZABETH JEAN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/206
"BEAUREPAIRE, FRANK JOSEPH EDMUND  ",13 MAY 1891,29 MAY 1956),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1016
"BEAVER, FRANCIS EDIS  ",19 JUNE 1824,07 OCTOBER 1887),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/268
"BEAZLEY, WILLIAM DAVID  ",07 OCTOBER 1854,28 JUNE 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/204
"BECKETT, ROBERT  ",28 NOVEMBER 1862,02 JUNE 1917),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1017
"BECKETT, WILLIAM JAMES  ",10 JUNE 1870,07 MAY 1965),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1018
"BEGGS, THEODORE  ",17 AUGUST 1859,02 APRIL 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1019
"BELCHER, GEORGE FREDERICK  ",10 JANUARY 1823,23 NOVEMBER 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/297
"BELL, JOHN  ",23 FEBRUARY 1821,27 JANUARY 1876),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/317
"BELL, WILLIAM MONTGOMERIE  ",29 JANUARY 1813,16 SEPTEMBER 1867),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/211
"BELL, HENRY  ",07 MARCH 1817,15 JUNE 1887),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/298
"BELL, JAMES  ",26 SEPTEMBER 1836,24 FEBRUARY 1908),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/208
"BELL, ALEXANDER  ",1851,27 MARCH 1931),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1020
"BENJAMIN, BENJAMIN  ",02 SEPTEMBER 1834,07 MARCH 1905),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/358
"BENNETT, JOHN BARTER  ",1824,19 MAY 1887),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/212
"BENNETT, ROBERT  ",21 JANUARY 1822,18 JANUARY 1891),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/219
"BENNETT, GEORGE HENRY  ",1850,08 SEPTEMBER 1908),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/359
"BENNETT, HARRY SCOTT   ",01 JUNE 1877,24 MAY 1959),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1021
"BENNETT, MATTHEW  ",20 JANUARY 1862,16 JANUARY 1951),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1014
"BENSON, ROBERT  ",05 JANUARY 1801,11 JUNE 1860),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/220
"BENT, THOMAS  ",07 DECEMBER 1838,17 SEPTEMBER 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/226
