name,born,died,page
"LEVIEN, JONAS FELIX AUSTRALIA  ",28 MARCH 1840,24 MAY 1906),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/639
"LEWIS, ROBERT  ",13 MAY 1816,30 AUGUST 1884),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/640
"LEWIS, WILLIAM JOHN  ",16 OCTOBER 1916,08 DECEMBER 1991),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1047
"LEWIS, EDWARD WALLACE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1364
"LEWIS, MARGARET   ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1709
"LIEBERMAN, LOUIS STUART  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1370
"LIENHOP, JOHN HERMAN  ",03 FEBRUARY 1886,27 APRIL 1967),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1371
"LIM, HONG  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/21
"LIND, ALBERT ELI  ",21 FEBRUARY 1878,26 JUNE 1964),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1373
"LIND, ALAN ALFRED CAMPBELL  ",20 APRIL 1913,05 DECEMBER 1988),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1372
"LINDELL, JENNIFER MARGARET  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/244
"LINTON, RICHARD  ",10 MARCH 1879,21 SEPTEMBER 1959),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1374
"LITTLE, WILLIS  ",1848,17 JULY 1917),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1367
"LITTLE, JOHN ALBERT  ",13 OCTOBER 1914,25 NOVEMBER 1988),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1375
"LIVINGSTON, THOMAS  ",12 JUNE 1851,13 JULY 1922),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1376
"LOADER, THOMAS  ",25 JUNE 1830,26 FEBRUARY 1901),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/643
"LOBATO, TAMARA   ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1693
"LOBB, WILLIAM JOHN  ",04 NOVEMBER 1833,10 MARCH 1916),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/644
"LOCK, RICHARD HENRY  ",10 NOVEMBER 1818,27 JULY 1879),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/645
"LOCKWOOD, PETER  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1081
"LONEY, PETER JAMES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/291
"LONG, RICHARD JOHN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1368
"LONGDEN, JAMES DUNCAN CAMPBELL  ",01 OCTOBER 1826,18 JUNE 1904),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/646
"LONGMORE, FRANCIS  ",1826,01 MAY 1898),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/647
"LONSDALE, WILLIAM  ",02 OCTOBER 1799,28 MARCH 1864),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/648
"LORIMER, JAMES  ",30 MARCH 1831,06 SEPTEMBER 1889),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/649
"LOVE, ANDREW  ",22 AUGUST 1827,15 AUGUST 1901),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/650
"LOVEGROVE, DENIS  ",25 SEPTEMBER 1904,25 JANUARY 1979),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1378
"LOWE, JOHN  ",UNKNOWN,17 JANUARY 1867),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/651
"LOXTON, SAMUEL JOHN EVERETT  ",29 MARCH 1921,03 DECEMBER 2011),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1379
"LUCAS, NEIL BEDFORD  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/292
"LUCKINS, MAREE THERESE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/293
"LUCY, MICHAEL FRANCIS  ",06 NOVEMBER 1915,09 JANUARY 1971),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1380
"LUDBROOK, HERBERT CHARLES  ",08 NOVEMBER 1888,15 JANUARY 1956),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1382
"LUPTON, HURTLE REGINALD  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/295
"LUPTON, ANTHONY GERARD  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1698
"LUXTON, THOMAS  ",22 MAY 1850,05 SEPTEMBER 1911),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1384
"LUXTON, HAROLD DANIEL  ",25 JUNE 1888,24 OCTOBER 1957),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1383
"LYALL, WILLIAM  ",20 JUNE 1821,20 JANUARY 1888),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/652
"LYELL, ANDREW  ",23 OCTOBER 1836,18 DECEMBER 1897),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/653
"LYSTER, MAUREEN ANNE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/132
"MACADAM, JOHN  ",29 MAY 1827,02 SEPTEMBER 1865),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/654
"MACARTNEY, GEORGE DAVID  ",1841,02 JUNE 1878),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/656
"MACAULAY, WILLIAM  ",31 OCTOBER 1893,17 MAY 1957),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1049
"MACBAIN, JAMES  ",19 APRIL 1828,04 NOVEMBER 1892),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/657
"MACDONALD, ROBERT  ",1817,08 APRIL 1866),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/670
"MACDONALD, COLIN DOUGLAS  ",24 AUGUST 1890,02 SEPTEMBER 1975),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1356
"MACDONALD, JAMES DAVID  ",28 JUNE 1917,06 MARCH 1989),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1399
"MACEY, REG  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/134
"MACFARLAN, JOHN ROBERT MACFARLANE  ",21 NOVEMBER 1881,19 MARCH 1964),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1407
"MACGREGOR, JOHN  ",1828,27 MARCH 1884),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/673
"MACGREGOR, SAMUEL  ",23 APRIL 1824,23 JANUARY 1908),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/676
"MACGREGOR, ROBERT  ",25 MARCH 1825,18 SEPTEMBER 1883),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/675
"MACHIN, BUCKLEY  ",21 OCTOBER 1901,20 JUNE 1963),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1053
"MACINTOSH, JAMES  ",21 DECEMBER 1830,16 APRIL 1904),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/677
"MACK, RONALD WILLIAM  ",20 MAY 1904,12 FEBRUARY 1968),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1412
"MACKAY, GEORGE  ",14 MARCH 1815,18 JANUARY 1890),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/680
"MACKAY, ANGUS  ",26 JANUARY 1824,05 JULY 1886),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/679
"MACKENZIE, RODERICK ALEXANDER  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1416
"MACKEY, JOHN EMANUEL  ",07 AUGUST 1863,06 APRIL 1924),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1418
"MACKINNON, DONALD  ",29 SEPTEMBER 1859,25 APRIL 1932),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1419
"MACKINNON, DONALD JAMES  ",01 NOVEMBER 1928,01 OCTOBER 2017),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1420
"MACKRELL, EDWIN JOSEPH  ",16 DECEMBER 1878,24 MARCH 1965),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1424
"MACLELLAN, ROBERT ROY CAMERON  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1430
"MACLEOD, ALEXANDER MAGNUS  ",07 AUGUST 1846,19 JULY 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1055
"MACLEOD, HUGH VERNON  ",23 JANUARY 1882,24 SEPTEMBER 1955),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1432
"MACMAHON, CHARLES  ",10 JULY 1824,28 AUGUST 1891),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/691
"MACPHERSON, JOHN ALEXANDER  ",15 OCTOBER 1833,17 FEBRUARY 1894),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/694
"MACPHERSON, JAMES PHILIP  ",20 NOVEMBER 1842,23 AUGUST 1891),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/693
"MADDEN, JOHN  ",16 MAY 1844,10 MARCH 1918),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/696
"MADDEN, WALTER  ",16 DECEMBER 1848,03 AUGUST 1925),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/698
"MADDEN, JOHN JOSEPH  ",1848,12 JANUARY 1888),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/697
"MADDEN, FRANK  ",29 NOVEMBER 1847,17 FEBRUARY 1921),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/695
"MADDEN, JUSTIN MARK  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/301
"MADDIGAN, JUDITH MARILYN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/303
"MAIR, WILLIAM PHILIP  ",17 SEPTEMBER 1900,30 AUGUST 1964),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1436
"MALONEY, WILLIAM ROBERT NUTTALL  ",12 APRIL 1854,29 AUGUST 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/699
"MALTBY, THOMAS KARRAN  ",17 OCTOBER 1890,02 JUNE 1976),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1440
"MANIFOLD, THOMAS  ",29 MARCH 1809,07 NOVEMBER 1875),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/700
"MANIFOLD, WALTER SYNNOT  ",30 MARCH 1849,15 NOVEMBER 1928),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1444
"MANIFOLD,  CHESTER  ",13 MAY 1897,06 JANUARY 1979),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1443
"MANSELL, ARTHUR ROBERT  ",19 DECEMBER 1904,26 JULY 1990),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1437
"MANSON, JAMES WILLIAMSON  ",31 MARCH 1908,30 AUGUST 1974),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1447
"MARPLE, CAROLE FRANCES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/150
"MARSHALL, KIRSTIE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1689
"MARTIN, GEORGE  ",22 DECEMBER 1839,15 AUGUST 1921),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1448
"MARTIN, NORMAN ANGUS  ",24 APRIL 1893,08 OCTOBER 1978),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1449
"MARTLEY, JAMES FREDERICK  ",1820,19 DECEMBER 1873),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/701
"MASON, JAMES  ",UNKNOWN,07 OCTOBER 1914),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/703
"MASON, THOMAS  ",UNKNOWN,15 APRIL 1896),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/705
"MASON, FRANCIS CONWAY  ",21 FEBRUARY 1843,19 JUNE 1915),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/702
"MASON, JOHN WALTER  ",18 JANUARY 1838,03 DECEMBER 1908),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/704
"MATHEWS,  RACE THORSON  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1451
"MAUGER, SAMUEL  ",12 NOVEMBER 1857,26 JUNE 1936),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/706
"MAUGHAN, NOEL JOHN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/304
"MAXFIELD, IAN JOHN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/302
"MAY, ROBERT WILLIAM  ",06 JULY 1909,16 APRIL 1986),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1450
"MC' KINNON, LAUCHLAN  ",26 FEBRUARY 1817,21 MARCH 1888),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/686
"MCADAM, WILLIAM JAMES  ",07 JANUARY 1882,28 JUNE 1967),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1381
"MCALISTER, RONALD GRAHAM HENRY  ",20 SEPTEMBER 1922,21 APRIL 1996),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1048
"MCARTHUR, JOHN NEIL  ",20 JUNE 1857,13 MARCH 1917),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/655
"MCARTHUR, PETER CAMPBELL  ",20 JULY 1864,13 JUNE 1953),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1387
"MCARTHUR, GORDON STEWART  ",07 APRIL 1896,10 AUGUST 1965),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1386
"MCARTHUR, PETER STEWART  ",27 SEPTEMBER 1937,02 FEBRUARY 2017),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1388
"MCARTHUR, LAWRENCE ALEXANDER  ",20 AUGUST 1930,03 MARCH 1996),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1385
"MCARTHUR, STEPHEN JAMES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/294
"MCBRIDE, PETER  ",09 FEBRUARY 1867,03 MARCH 1923),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/658
"MCBRIEN, LIKELY HERMAN  ",07 DECEMBER 1892,22 DECEMBER 1956),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1389
"MCBRYDE, DUNCAN ELPHINSTONE  ",12 MAY 1854,24 NOVEMBER 1920),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/659
"MCCABE, JAMES EDMUND  ",07 OCTOBER 1922,24 JANUARY 2019),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1390
"MCCALL, ANDREA LEA  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/296
"MCCANCE, KEITH ROBERT  ",28 NOVEMBER 1929,02 JANUARY 2008),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1391
"MCCANN, WILLIAM NELSON  ",20 SEPTEMBER 1837,24 MARCH 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/288
"MCCANN, WILLIAM JOHN  ",25 JANUARY 1879,01 DECEMBER 1961),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1377
"MCCAW, MATTHEW  ",25 MAY 1815,30 DECEMBER 1876),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/660
"MCCAY, JAMES WHITESIDE  ",21 DECEMBER 1864,01 OCTOBER 1930),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/661
"MCCLURE, JOHN ROBERT   ",10 FEBRUARY 1913,06 JULY 1983),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1393
"MCCLURE, DARYL HEDLEY ROBERT  ",15 FEBRUARY 1947,15 MARCH 2015),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1392
"MCCOLL, HUGH  ",22 JANUARY 1819,02 APRIL 1885),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/662
"MCCOLL, JAMES HIERS  ",31 JANUARY 1844,20 FEBRUARY 1929),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/663
"MCCOMBIE, THOMAS  ",07 FEBRUARY 1819,20 OCTOBER 1869),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/664
"MCCRAE, JOHN  ",UNKNOWN,19 FEBRUARY 1870),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/665
"MCCULLOCH, JAMES  ",18 MARCH 1819,31 JANUARY 1893),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/666
"MCCULLOCH, WILLIAM  ",22 OCTOBER 1832,04 APRIL 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/667
"MCCUTCHEON, ROBERT GEORGE  ",1841,20 OCTOBER 1918),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1396
"MCCUTCHEON,  ANDREW  ",29 SEPTEMBER 1931,16 DECEMBER 2017),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1394
"MCDERMOTT, TOWNSEND  ",12 OCTOBER 1818,21 JANUARY 1907),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/668
"MCDONALD, JOHN YOUNG  ",08 AUGUST 1837,07 SEPTEMBER 1917),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/669
"MCDONALD, ALEXANDER  ",1845,26 MAY 1920),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1395
"MCDONALD, JAMES  ",20 MAY 1856,15 AUGUST 1933),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1052
"MCDONALD, JAMES  ",13 AUGUST 1889,11 JANUARY 1938),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1360
"MCDONALD, ALLAN MCKENZIE  ",04 JULY 1888,10 JUNE 1953),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1398
"MCDONALD, ALEXANDER  ",12 JUNE 1878,09 SEPTEMBER 1956),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1051
"MCDONALD, JOHN GLADSTONE BLACK  ",06 DECEMBER 1898,23 APRIL 1977),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1401
"MCDONALD, ALLAN ELLIOTT  ",10 DECEMBER 1903,16 OCTOBER 1957),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1397
"MCDONALD, WILLIAM JOHN FARQUHAR  ",03 OCTOBER 1911,13 SEPTEMBER 1995),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1406
"MCDONALD, RUSSELL STANLEY LESLIE  ",12 MAY 1913,20 JANUARY 1980),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1403
"MCDONALD, STUART RICHARD  ",18 APRIL 1928,20 DECEMBER 2017),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1405
"MCDONALD, MAXWELL JOHN  ",18 APRIL 1927,28 AUGUST 2019),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1402
"MCDONNELL, MORGAN AUGUSTINE  ",1824,23 SEPTEMBER 1889),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/671
"MCDOUGALL, ROBERT  ",16 APRIL 1813,25 JUNE 1887),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/672
"MCGARVIE, KEITH  ",13 MARCH 1891,05 OCTOBER 1969),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1408
"MCGILL, DENISE FRANCES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/169
"MCGRATH, DAVID CHARLES  ",10 NOVEMBER 1872,31 JULY 1934),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1404
"MCGRATH, WILLIAM DESMOND  ",03 DECEMBER 1936,22 AUGUST 2018),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1409
"MCGRATH, JOHN FRANCIS  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/170
"MCGREGOR, ROBERT  ",1853,06 AUGUST 1931),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/674
"MCGREGOR, MARTIN ROBERT  ",22 FEBRUARY 1859,17 AUGUST 1936),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1410
"MCINERNEY, THOMAS PATRICK  ",09 NOVEMBER 1854,09 DECEMBER 1934),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1400
"MCINNES, NEIL MALCOLM  ",26 AUGUST 1924,02 APRIL 2005),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1411
"MCINTOSH, ANDREW JOHN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/299
"MCINTYRE, JOHN  ",24 APRIL 1832,18 JANUARY 1904),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/678
"MCKEAN, JAMES  ",24 APRIL 1832,12 JUNE 1901),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/682
"MCKELLAR, THOMAS  ",15 JUNE 1819,02 AUGUST 1900),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/681
"MCKELLAR, DONALD KELSO  ",29 JUNE 1924,05 JANUARY 1986),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1413
"MCKENNA, MARTIN  ",11 NOVEMBER 1832,07 MAY 1907),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/683
"MCKENZIE, MALCOLM KENNETH  ",JANUARY 1849,16 JUNE 1927),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/684
"MCKENZIE, HUGH  ",13 DECEMBER 1853,04 AUGUST 1942),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1415
"MCKENZIE, WILLIAM GEORGE ALEXANDER  ",03 DECEMBER 1883,04 FEBRUARY 1969),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1417
"MCKINLEY, ALEXANDER  ",1848,18 APRIL 1927),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/685
"MCKISSOCK, ANDREW NELSON  ",06 DECEMBER 1872,17 JULY 1919),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1423
"MCLACHLAN, JAMES WEIR  ",16 AUGUST 1862,18 SEPTEMBER 1938),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1414
"MCLAREN, IAN FRANCIS  ",30 MARCH 1912,17 APRIL 2000),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1427
"MCLEAN, ALLAN  ",03 FEBRUARY 1840,13 JULY 1911),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/687
"MCLEAN, JEAN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/171
"MCLELLAN, WILLIAM  ",12 AUGUST 1831,12 APRIL 1906),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/688
"MCLELLAN, ADAM  ",10 APRIL 1865,12 MARCH 1929),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1428
"MCLELLAN, FREDERICK   ",20 OCTOBER 1942,18 SEPTEMBER 1999),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/173
"MCLENNAN, DUNCAN  ",17 DECEMBER 1861,21 MAY 1946),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1429
"MCLEOD,  NORMAN  ",08 OCTOBER 1816,18 APRIL 1886),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/690
"MCLEOD, DONALD NORMAN  ",10 JUNE 1848,25 OCTOBER 1914),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/689
"MCLEOD, DONALD  ",05 DECEMBER 1837,08 JULY 1923),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1431
"MCLEOD, RODERICK HUGH  ",22 DECEMBER 1862,26 NOVEMBER 1924),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1421
"MCMILLAN, ANGUS  ",14 AUGUST 1810,18 MAY 1865),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/692
"MCNALLY, COLIN ERNEST  ",03 JULY 1899,21 MAY 1952),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1422
"MCNAMARA, DANIEL LAURENCE  ",28 MARCH 1876,28 DECEMBER 1947),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1434
"MCNAMARA, PATRICK JOHN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1435
"MCPHERSON, WILLIAM MURRAY  ",17 SEPTEMBER 1865,26 JULY 1932),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1438
"MCQUILTEN, JOHN MARTIN  ",10 NOVEMBER 1949,02 JANUARY 2015),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/300
"MCTAGGART, HEATHER  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1084
"MCWHAE, JOHN  ",22 JUNE 1858,17 SEPTEMBER 1927),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1439
"MEAGHER, EDWARD RAYMOND  ",22 NOVEMBER 1908,31 MAY 1988),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1452
"MEARES, GEORGE  ",25 JUNE 1825,08 DECEMBER 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/707
"MELDRUM, JAMES  ",1868,1941),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1056
"MELVILLE, DONALD  ",19 NOVEMBER 1829,20 MARCH 1919),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/708
"MEMBREY, JAMES GEORGE  ",23 MARCH 1862,12 NOVEMBER 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1453
"MENZIES, HUGH  ",04 SEPTEMBER 1857,13 FEBRUARY 1925),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1425
"MENZIES, JAMES  ",09 AUGUST 1862,01 NOVEMBER 1945),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1454
"MENZIES, ROBERT GORDON  ",21 DECEMBER 1894,15 MAY 1978),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1455
