name,page,house,elected,electorate,retired
"Hughes, Mrs Judith (Judy)",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/95EDA10088F11A40482577E50028A671?OpenDocument#current,MLA,26 February 2005,Kingsley,2008
"Hughes, Mr Matthew",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A06669CA371CE457482580E500293D0C?OpenDocument#current,MLA,11 March 2017,Kalamunda,
"Hughes, Thomas John ""Diver""",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/3B865DE4A8013A2B482577E50028A672?OpenDocument#current,MLA,18 November 1922,East Perth,1943
"Hunt, John Leslie",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/654DCBAB56C5B08B482577E50028A673?OpenDocument#current,MLC,20 February 1971,North,1974
"Hutchinson, Robert David",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/E7897938D49BD432482577E50028A674?OpenDocument#current,MLA,24 July 1900,Geraldton,1904
"Hutchinson, Ross",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/2D65C2DD920A7716482577E50028A675?OpenDocument#current,MLA,25 March 1950,Cottesloe,1977
"Hutchison, Ruby Florence",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/2EEDA0F6DC81F62F482577E50028A676?OpenDocument#current,MLC,22 May 1954,Suburban,1971
"Hyde, Mr John Norman",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D579DF2650FBA4B3482577E50028A677?OpenDocument#current,MLA,10 February 2001,Perth,2013
"Illingworth, Frederick",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/E311433784079438482577E50028A678?OpenDocument#current,MLA,5 July 1894,Nannine,1907
"Irwin, Hon Elise Maxine",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/713E641CA6282152482580FE0018288D?OpenDocument#current,MLC,4 April 2017,North Metropolitan,2017
"Isdell, James",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/AE1BD4259FE90AA5482577E50028A679?OpenDocument#current,MLA,18 March 1903,Pilbara,1906
"Jacob, Mr Albert Paul",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1B7E26C28918FDE148257C77001D48FF?OpenDocument#current,MLA,6 September 2008,Ocean Reef,2017
"Jacobs, Dr Graham Gibson",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D97F268FC573554848257C75000FA754?OpenDocument#current,MLA,26 February 2005,Eyre,2017
"Jacoby, Mathieson Harry",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/2369434B586D2CA8482577E50028A67B?OpenDocument#current,MLA,24 April 1901,Swan,1911
"James, John Charles Horsey",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A16EB3E25DA1281848257E5E0027B6AE?OpenDocument#current,MLC,9 June 1887,Nominated,1888
"James, Walter Hartwell",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/DC29F4DEB8B5DBD7482577E50028A67C?OpenDocument#current,MLA,14 June 1894,East Perth,1904
"Jameson, Adam",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/8EEF718CE65CA0FF482577E50028A67D?OpenDocument#current,MLC,29 August 1900,Metropolitan-Suburban,1903
"Jamieson, Colin John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/229D437326D6F19B482577E50028A67E?OpenDocument#current,MLA,14 February 1953,Canning,1986
"Jeffery, George Edward",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/5F6FD8D0B7263C55482577E50028A67F?OpenDocument#current,MLC,22 May 1956,Suburban,1962
"Jenkins, Arthur George",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/AF26135255ACED6D482577E50028A680?OpenDocument#current,MLC,22 May 1898,North East,1917
"Johnson, Mr Robert (Rob) Frank",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/795784F133DEB0A1482577E50028A681?OpenDocument#current,MLA,6 February 1993,Whitford; Hillarys,2017
"Johnson, Stephen Edward Ingram",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/5E5827EDE66E400F482577E50028A682?OpenDocument#current,MLA,9 February 1952,Leederville,1959
"Johnson, William Dartnell",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/C4987AF7E946AADE482577E50028A683?OpenDocument#current,MLA,24 April 1901,Kalgoorlie,1948
"Johnston, Edward Bertram",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/DB8A684C9FE44D49482577E50028A684?OpenDocument#current,MLA,3 October 1911,Williams,1928
"Johnston, Mr William (Bill) Joseph",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/BAA52804CDCFB29948257C85002A8EE8?OpenDocument#current,MLA,6 September 2008,Cannington,
"Jones, Arthur Raymond",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/0C268945A8C5DBF7482577E50028A685?OpenDocument#current,MLC,22 May 1950,Midland,1967
"Jones, Beryl Lillian",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/111E90D6616ECAE4482577E50028A686?OpenDocument#current,MLC,22 May 1986,Lower West,1993
