name,page,electorate,from_to,died
"MELLOR, Matthew",https://www.parliament.qld.gov.au/members/former/bio?id=900436507,"Gympie, Wide Bay",7 Sep 1883 - 29 Apr 1893,17 February 1899
"MELLOY, John",https://www.parliament.qld.gov.au/members/former/bio?id=1617554236,Nudgee,28 May 1960 - 12 Nov 1977,6 January 2006
"MENKENS, Rosemary Norma",https://www.parliament.qld.gov.au/members/former/bio?id=3296722925,Burdekin,7 Feb 2004 - 30 Jan 2015,
"MENZEL, Max Richard",https://www.parliament.qld.gov.au/members/former/bio?id=3821439638,Mulgrave,29 Nov 1980 - 2 Dec 1989,
"MESSENGER, Robert Desmond",https://www.parliament.qld.gov.au/members/former/bio?id=2852406111,Burnett,7 Feb 2004 - 23 Mar 2012,
"MESTON, Archibald",https://www.parliament.qld.gov.au/members/former/bio?id=3706434712,Rosewood,26 Nov 1878 - 4 Jul 1882,11 March 1924
"MICKEL, Hon Reginald",https://www.parliament.qld.gov.au/members/former/bio?id=980035746,Logan,13 Jun 1998 - 23 Mar 2012,
"MIDGLEY, Alfred",https://www.parliament.qld.gov.au/members/former/bio?id=3699315499,Fassifern,7 Sep 1883 - 20 Jul 1887,25 February 1930
"MIDSON, Charles William",https://www.parliament.qld.gov.au/members/former/bio?id=1242985685,Brisbane South,6 May 1893 - 21 Apr 1896,8 April 1903
"MILES, Edward David",https://www.parliament.qld.gov.au/members/former/bio?id=700217016,Legislative Council,5 Jul 1902 - 3 Mar 1922,3 March 1922
"MILES, William",https://www.parliament.qld.gov.au/members/former/bio?id=2038419046,"Carnarvon, Darling Downs, Maranoa, Northern Downs",27 Sep 1864 - 22 Aug 1887,22 August 1887
"MILFORD, Henry John Bede",https://www.parliament.qld.gov.au/members/former/bio?id=787029738,Rockhampton,6 Dec 1869 - 7 Jun 1870,29 February 1888
"MILLARD, Kerry Natasha",https://www.parliament.qld.gov.au/members/former/bio?id=2773230963,Sandgate,24 Mar 2012 - 30 Jan 2015,
"MILLER, Colin John",https://www.parliament.qld.gov.au/members/former/bio?id=4032919748,Ithaca,28 May 1966 - 1 Nov 1986,4 November 2016
"MILLER, Mrs Jo-Ann Roslyn",https://www.parliament.qld.gov.au/members/former/bio?id=1827644150,Bundamba,5 Feb 2000 - 20 Feb 2020,
"MILLICAN, Joe",https://www.parliament.qld.gov.au/members/former/bio?id=4049890506,Charters Towers,18 May 1907 - 5 Feb 1908,10 August 1934
"MILLINER, Hon Glen Richard",https://www.parliament.qld.gov.au/members/former/bio?id=215978128,"Everton, Ferny Grove",12 Nov 1977 - 13 Jun 1998,
"MITCHELL, Robert Alan",https://www.parliament.qld.gov.au/members/former/bio?id=759270829,Charters Towers,19 Sep 1992 - 17 Feb 2001,
"MITCHELL, William",https://www.parliament.qld.gov.au/members/former/bio?id=1095838345,Maryborough,27 Aug 1904 - 2 Oct 1909,21 May 1923
"MOFFATT, Thomas de Lacy",https://www.parliament.qld.gov.au/members/former/bio?id=3370872235,Western Downs,27 Apr 1860 - 2 Oct 1864,2 October 1864
"MOLLOY, Cathryn",https://www.parliament.qld.gov.au/members/former/bio?id=2053122921,Noosa,17 Feb 2001 - 9 Sep 2006,
"MOORE, Hon Arthur Edward, CMG",https://www.parliament.qld.gov.au/members/former/bio?id=3192615070,Aubigny,22 May 1915 - 29 Mar 1941,7 January 1963
"MOORE, Francis Peter",https://www.parliament.qld.gov.au/members/former/bio?id=3647218844,Mourilyan,17 May 1969 - 7 Dec 1974,
"MOORE, Robert Edgar",https://www.parliament.qld.gov.au/members/former/bio?id=2960319986,Windsor,17 May 1969 - 22 Oct 1983,6 June 2011
"MOORE, William Matthew",https://www.parliament.qld.gov.au/members/former/bio?id=488888633,Merthyr,9 Nov 1940 - 3 Aug 1957,3 February 1976
"MOORE, William John Harlin",https://www.parliament.qld.gov.au/members/former/bio?id=2666203313,Murilla,28 May 1898 - 2 Oct 1909,16 October 1933
"MOORES, Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=1195261017,Kurilpa,10 Sep 1949 - 3 Aug 1957,15 July 1983
"MOORHEAD, Evan Robert",https://www.parliament.qld.gov.au/members/former/bio?id=3901054891,Waterford,9 Sep 2006 - 23 Mar 2012,
"MOORHOUSE, Harry Russell",https://www.parliament.qld.gov.au/members/former/bio?id=1612520613,Windsor,29 Mar 1941 - 15 Apr 1944,13 December 1971
"MOREHEAD, Boyd Dunlop",https://www.parliament.qld.gov.au/members/former/bio?id=1290859296,"Balonne, Legislative Council, Mitchell",4 Sep 1871 - 30 Oct 1905,30 October 1905
"MORETON, Berkeley Basil",https://www.parliament.qld.gov.au/members/former/bio?id=614600687,"Burnett, Legislative Council, Maryborough",30 Aug 1870 - 23 Mar 1922,7 August 1924
"MORGAN, Sir Arthur",https://www.parliament.qld.gov.au/members/former/bio?id=82302774,"Legislative Council, Warwick",18 Jul 1887 - 20 Dec 1916,20 December 1916
"MORGAN, Godfrey",https://www.parliament.qld.gov.au/members/former/bio?id=2589751358,"Dalby, Murilla",2 Oct 1909 - 2 Apr 1938,29 August 1957
"MORGAN, James",https://www.parliament.qld.gov.au/members/former/bio?id=2906435241,Warwick,10 Aug 1870 - 19 Nov 1878,29 November 1878
"MORRIS, George Alfred",https://www.parliament.qld.gov.au/members/former/bio?id=3650407881,Kelvin Grove,2 Apr 1938 - 29 Mar 1941,18 May 1967
"MORRIS, Sir Kenneth James, KBE, CMG",https://www.parliament.qld.gov.au/members/former/bio?id=90464382,"Enoggera, Mount Coot-tha",15 Apr 1944 - 1 Jun 1963,1 June 1978
"MORRY, Arthur",https://www.parliament.qld.gov.au/members/former/bio?id=3624146066,Brisbane South,17 Jul 1890 - 6 May 1893,25 May 1938
"MOSMAN, Hugh",https://www.parliament.qld.gov.au/members/former/bio?id=1076697265,Legislative Council,27 Jun 1891 - 17 Jan 1905,15 November 1909
"MULCAHY, Daniel",https://www.parliament.qld.gov.au/members/former/bio?id=3340847990,Gympie,8 Jun 1901 - 27 Apr 1912,6 January 1932
"MULHERIN, Hon Timothy Sean",https://www.parliament.qld.gov.au/members/former/bio?id=2543379815,Mackay,15 Jul 1995 - 30 Jan 2015,
"MULLAN, Hon John",https://www.parliament.qld.gov.au/members/former/bio?id=1465060922,"Carpentaria, Charters Towers, Flinders",5 Feb 1908 - 29 Mar 1941,1 October 1941
"MULLEN, Dr John Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=1301434527,Legislative Council,26 Apr 1872 - 11 Jul 1883,17 November 1897
"MULLER, Adolf Gustav",https://www.parliament.qld.gov.au/members/former/bio?id=4128676449,Fassifern,11 May 1935 - 17 May 1969,1 August 1970
"MULLER, Hon Selwyn John",https://www.parliament.qld.gov.au/members/former/bio?id=1521938976,Fassifern,17 May 1969 - 22 Oct 1983,24 February 2008
"MULVEY, Robert Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=3872147116,Legislative Council,19 Feb 1920 - 23 Mar 1922,24 April 1937
"MUNRO, Sir Alan Whiteside, KBE",https://www.parliament.qld.gov.au/members/former/bio?id=3308230674,Toowong,29 Apr 1950 - 28 May 1966,8 July 1968
"MUNTZ, Geoffrey Hugh",https://www.parliament.qld.gov.au/members/former/bio?id=2838944944,Whitsunday,29 Nov 1980 - 2 Dec 1989,
"MURPHY, Denis Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=730226745,Stafford,22 Oct 1983 - 21 Jun 1984,21 June 1984
"MURPHY, Francis Reid",https://www.parliament.qld.gov.au/members/former/bio?id=1326136134,Barcoo,24 Nov 1885 - 24 Jan 1892,24 January 1892
"MURPHY, John",https://www.parliament.qld.gov.au/members/former/bio?id=1323755239,Ipswich,19 Jun 1867 - 12 Aug 1870,1 March 1883
"MURPHY, Peter",https://www.parliament.qld.gov.au/members/former/bio?id=173273859,Legislative Council,4 May 1904 - 23 Mar 1922,24 February 1925
"MURPHY, William Edward",https://www.parliament.qld.gov.au/members/former/bio?id=581405126,Cook,1 Jun 1876 - 5 Dec 1878,19 May 1881
"MURPHY, William Sydney",https://www.parliament.qld.gov.au/members/former/bio?id=4111432522,"Burke, Croydon",21 May 1904 - 16 Mar 1918,23 October 1930
"MURRAY, John Chester, MBE",https://www.parliament.qld.gov.au/members/former/bio?id=328980015,Clayfield,1 Jun 1963 - 10 Mar 1976,25 January 2009
"MURRAY, Hon John",https://www.parliament.qld.gov.au/members/former/bio?id=773415900,"Legislative Council, Normanby",19 May 1888 - 13 Nov 1903,18 November 1917
"MURRAY-PRIOR, Thomas de Montmorency",https://www.parliament.qld.gov.au/members/former/bio?id=3115468575,Fassifern,11 Mar 1902 - 11 Dec 1902,11 December 1902
"MURRAY-PRIOR, Thomas Lodge",https://www.parliament.qld.gov.au/members/former/bio?id=599868483,Legislative Council,22 Feb 1866 - 31 Dec 1892,31 December 1892
"MUSGROVE, Grant Steven",https://www.parliament.qld.gov.au/members/former/bio?id=1124885544,Springwood,13 Jun 1998 - 17 Feb 2001,
"MYLNE, Graham Douglas",https://www.parliament.qld.gov.au/members/former/bio?id=2772565213,Warrego,24 Jun 1867 - 18 Sep 1868,5 April 1876
"NEAL, Donald McConnell",https://www.parliament.qld.gov.au/members/former/bio?id=4238727090,Balonne,27 May 1972 - 19 Sep 1992,
"NELSON, Beryce Ann",https://www.parliament.qld.gov.au/members/former/bio?id=3363332955,Aspley,29 Nov 1980 - 2 Dec 1989,
"NELSON, Sir Hugh Muir",https://www.parliament.qld.gov.au/members/former/bio?id=3050323710,"Legislative Council, Murilla, Northern Downs",7 Sep 1883 - 1 Jan 1906,1 January 1906
"NELSON, Shaun Christopher",https://www.parliament.qld.gov.au/members/former/bio?id=2592365060,Tablelands,13 Jun 1998 - 17 Feb 2001,
"NELSON, Rev Dr William Lambie",https://www.parliament.qld.gov.au/members/former/bio?id=3816976789,West Moreton,3 May 1860 - 22 Jun 1860,13 June 1887
"NELSON-CARR, Lindel Helena",https://www.parliament.qld.gov.au/members/former/bio?id=2507929973,Mundingburra,13 Jun 1998 - 23 Mar 2012,
"NEVITT, Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=1048512731,"Carpentaria, Legislative Council",18 May 1907 - 23 Mar 1922,13 September 1932
"NEWBERY, Hon Thomas Guy",https://www.parliament.qld.gov.au/members/former/bio?id=3319259090,Mirani,15 May 1965 - 29 Nov 1980,30 October 1984
"NEWELL, John",https://www.parliament.qld.gov.au/members/former/bio?id=3816638874,Woothakata,11 Apr 1896 - 11 Mar 1902,29 July 1932
"NEWMAN, Campbell Kevin Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=119381585,Ashgrove,24 Mar 2012 - 30 Jan 2015,
"NEWTON, Harold Francis",https://www.parliament.qld.gov.au/members/former/bio?id=1753711555,Belmont,28 May 1960 - 7 Dec 1974,28 December 1990
"NEWTON, Lyell Edward",https://www.parliament.qld.gov.au/members/former/bio?id=185007774,"Caboolture, Glass House",22 Oct 1983 - 2 Dec 1989,2 August 2015
"NICHOLSON, Sir Charles Bart",https://www.parliament.qld.gov.au/members/former/bio?id=3496991849,Legislative Council,1 May 1860 - 23 Jun 1863,8 November 1903
"NICHOLSON, Hon Sir David Eric, KCB",https://www.parliament.qld.gov.au/members/former/bio?id=2143486889,Murrumba,29 Apr 1950 - 25 May 1972,13 December 1997
"NICKLIN, Sir George Francis Reuben",https://www.parliament.qld.gov.au/members/former/bio?id=196108978,"Landsborough, Murrumba",11 Jun 1932 - 13 Feb 1968,29 January 1978
"NIELSON, Charles Frederick",https://www.parliament.qld.gov.au/members/former/bio?id=3328406110,"Legislative Council, Musgrave",27 Aug 1904 - 23 Mar 1922,15 August 1924
"NIMMO, Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=2907138725,Oxley,11 May 1929 - 6 Feb 1943,6 February 1943
"NIND, Philip Henry",https://www.parliament.qld.gov.au/members/former/bio?id=3486220437,Logan,28 Nov 1873 - 3 Apr 1875,9 March 1896
"NOBLE, Dr Henry Winston",https://www.parliament.qld.gov.au/members/former/bio?id=1957037832,Yeronga,29 Apr 1950 - 28 Mar 1964,28 March 1964
"NOLAN, Hon Rachel Genevieve",https://www.parliament.qld.gov.au/members/former/bio?id=4283241914,Ipswich,17 Feb 2001 - 23 Mar 2012,
"NORMAN, John",https://www.parliament.qld.gov.au/members/former/bio?id=1655872638,Maryborough,11 Mar 1902 - 18 May 1907,11 July 1912
"NORTH, Francis",https://www.parliament.qld.gov.au/members/former/bio?id=1554377743,Legislative Council,3 Jul 1863 - 9 Dec 1864,9 December 1864
"NORTH, William Roger",https://www.parliament.qld.gov.au/members/former/bio?id=89042263,Lockyer,17 May 1888 - 13 May 1893,27 January 1936
"NORTON, Albert",https://www.parliament.qld.gov.au/members/former/bio?id=1049932351,"Legislative Council, Port Curtis",11 Sep 1867 - 11 Mar 1914,11 March 1914
"NOTT, Frederick Lancelot",https://www.parliament.qld.gov.au/members/former/bio?id=1447958735,Stanley,9 Oct 1920 - 5 Feb 1927,5 December 1927
"NUNN, William George",https://www.parliament.qld.gov.au/members/former/bio?id=2137478294,"Hervey Bay, Isis",2 Feb 1989 - 13 Jun 1998,
"NUTTALL, Gordon Richard",https://www.parliament.qld.gov.au/members/former/bio?id=192643428,Sandgate,19 Sep 1992 - 9 Sep 2006,
"O'BRIEN, Jason Danial",https://www.parliament.qld.gov.au/members/former/bio?id=1902727075,Cook,7 Feb 2004 - 23 Mar 2012,
"O'BRIEN, John",https://www.parliament.qld.gov.au/members/former/bio?id=3679786370,Aubigny,27 Aug 1904 - 18 May 1907,8 October 1932
"O'CONNELL, Sir Maurice Charles",https://www.parliament.qld.gov.au/members/former/bio?id=922554919,Legislative Council,1 May 1860 - 23 Mar 1879,23 March 1879
"O'CONNELL, William Bligh Henry",https://www.parliament.qld.gov.au/members/former/bio?id=730157069,Musgrave,9 May 1888 - 4 Mar 1903,4 March 1903
"O'DOHERTY, Dr Kevin Izod",https://www.parliament.qld.gov.au/members/former/bio?id=3638655839,"Legislative Council, Town Of Brisbane",22 Jun 1867 - 4 Nov 1885,15 July 1905
"O'DONNELL, Eugene Christopher",https://www.parliament.qld.gov.au/members/former/bio?id=380703120,"Barcoo, Belyando",1 Jul 1961 - 7 Dec 1974,16 August 1982
"OGDEN, Anthony",https://www.parliament.qld.gov.au/members/former/bio?id=2048762125,Townsville,20 Jan 1894 - 21 Mar 1896,15 May 1943
"O'KEEFE, John",https://www.parliament.qld.gov.au/members/former/bio?id=1687432541,"Cairns, Chillagoe",16 Jan 1926 - 27 Jan 1942,27 January 1942
"O'KEEFFE, Michael",https://www.parliament.qld.gov.au/members/former/bio?id=1862487934,Lockyer,27 Aug 1904 - 18 May 1907,29 August 1941
"O'NEILL, Mary-Anne",https://www.parliament.qld.gov.au/members/former/bio?id=19075117,Kallangur,21 Mar 2009 - 23 Mar 2012,
"O'SHEA, Harry",https://www.parliament.qld.gov.au/members/former/bio?id=4152669285,Warrego,30 Aug 1941 - 4 Nov 1950,4 November 1950
"O'SHEA, Timothy Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=651195914,Legislative Council,3 Jul 1914 - 23 Mar 1922,7 October 1930
"OSTAPOVITCH, Freya Klementina",https://www.parliament.qld.gov.au/members/former/bio?id=1594211123,Stretton,24 Mar 2012 - 30 Jan 2015,
"O'SULLIVAN, James",https://www.parliament.qld.gov.au/members/former/bio?id=1504006849,Kennedy,2 Oct 1909 - 9 Oct 1920,22 April 1921
"O'SULLIVAN, Patrick",https://www.parliament.qld.gov.au/members/former/bio?id=3991863574,"Burke, Ipswich, Stanley, West Moreton",10 May 1860 - 29 Apr 1893,29 February 1904
"O'SULLIVAN, Hon Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=139973843,"Legislative Council, Warwick",24 Sep 1903 - 9 Dec 1915,22 February 1953
"PAFF, Jack Kelvin",https://www.parliament.qld.gov.au/members/former/bio?id=433199487,Ipswich West,13 Jun 1998 - 17 Feb 2001,
"PAGE-HANIFY, Gerald",https://www.parliament.qld.gov.au/members/former/bio?id=526973526,Legislative Council,10 Oct 1917 - 11 Feb 1922,11 February 1922
"PAGET, Hon Walter Trueman",https://www.parliament.qld.gov.au/members/former/bio?id=2807766273,Mackay,25 May 1901 - 22 May 1915,23 December 1930
"PALASZCZUK, Hon Heinrich",https://www.parliament.qld.gov.au/members/former/bio?id=2403134183,"Archerfield, Inala",19 May 1984 - 9 Sep 2006,
"PALMER, Sir Arthur Hunter",https://www.parliament.qld.gov.au/members/former/bio?id=1872729953,"Legislative Council, North Brisbane, Port Curtis",19 Mar 1866 - 20 Mar 1898,20 March 1898
"PALMER, Edward",https://www.parliament.qld.gov.au/members/former/bio?id=2376603515,"Burke, Carpentaria",10 Aug 1883 - 4 Apr 1893,3 May 1899
"PALMER, Henry",https://www.parliament.qld.gov.au/members/former/bio?id=192904600,Maryborough,13 Dec 1880 - 17 Aug 1883,19 July 1916
"PALMER, Henry Wyndham",https://www.parliament.qld.gov.au/members/former/bio?id=1200179349,Kennedy,14 Nov 1878 - 10 Aug 1883,10 May 1887
"PANTON, John",https://www.parliament.qld.gov.au/members/former/bio?id=1556339870,Legislative Council,22 Feb 1866 - 2 Sep 1866,2 September 1866
"PARKER, James Augustus",https://www.parliament.qld.gov.au/members/former/bio?id=427682934,Burke,26 Oct 1875 - 21 Jun 1876,7 January 1899
"PARNELL, Arthur Horatio",https://www.parliament.qld.gov.au/members/former/bio?id=2765036665,Legislative Council,3 Mar 1908 - 23 Mar 1922,4 April 1933
"PATERSON, Frederick Woolnough",https://www.parliament.qld.gov.au/members/former/bio?id=3978893488,Bowen,15 Apr 1944 - 29 Apr 1950,7 October 1977
"PATTISON, William",https://www.parliament.qld.gov.au/members/former/bio?id=3237013240,"Blackall, Rockhampton",13 Apr 1886 - 4 Apr 1893,8 June 1896
"PAUL, William Sheffield",https://www.parliament.qld.gov.au/members/former/bio?id=2860031288,Leichhardt,14 Nov 1878 - 18 Apr 1893,30 November 1902
"PAULL, William James",https://www.parliament.qld.gov.au/members/former/bio?id=597321590,Charters Towers,7 Oct 1905 - 5 Feb 1908,21 September 1926
"PAYNE, John",https://www.parliament.qld.gov.au/members/former/bio?id=1723320684,Mitchell,13 May 1905 - 14 Jan 1928,14 January 1928
"PEARCE, James",https://www.parliament.qld.gov.au/members/former/bio?id=3521002882,"Broadsound, Fitzroy, Mirani",2 Dec 1989 - 24 Nov 2017,
"PEASE, Percy",https://www.parliament.qld.gov.au/members/former/bio?id=759663814,Herbert,10 Apr 1920 - 17 Sep 1940,17 September 1940
"PECHEY, Edward Wilmot",https://www.parliament.qld.gov.au/members/former/bio?id=4250658246,Aubigny,4 Nov 1873 - 9 Apr 1877,28 April 1904
"PEREL, Irvine (Isidore)",https://www.parliament.qld.gov.au/members/former/bio?id=2176389580,Legislative Council,10 Oct 1917 - 23 Mar 1922,23 October 1928
"PERKINS, Patrick",https://www.parliament.qld.gov.au/members/former/bio?id=1120775593,"Aubigny, Cambooya, Legislative Council",1 May 1877 - 17 May 1901,17 May 1901
"PERRETT, Trevor John",https://www.parliament.qld.gov.au/members/former/bio?id=800476961,Barambah,14 Apr 1988 - 13 Jun 1998,
"PERRY, William",https://www.parliament.qld.gov.au/members/former/bio?id=1495101609,Legislative Council,22 Sep 1890 - 11 Jun 1891,11 June 1891
"PERSSE, De Burgh Fitzpatrick",https://www.parliament.qld.gov.au/members/former/bio?id=2132150725,Fassifern,9 Apr 1878 - 7 Sep 1883,17 February 1921
"PETERSON, James Christian",https://www.parliament.qld.gov.au/members/former/bio?id=2878331871,"Fitzroy, Normanby",22 May 1915 - 11 May 1935,30 April 1953
"PETRIE, Andrew Lang",https://www.parliament.qld.gov.au/members/former/bio?id=2291946429,Toombul,10 Apr 1893 - 8 May 1926,1 April 1928
"PETTIGREW, John",https://www.parliament.qld.gov.au/members/former/bio?id=2516101201,Stanley,20 Nov 1873 - 10 Dec 1878,10 November 1878
"PETTIGREW, William",https://www.parliament.qld.gov.au/members/former/bio?id=215620869,Legislative Council,12 May 1877 - 23 Jun 1894,28 October 1906
"PHILLIPS, Anita Frances",https://www.parliament.qld.gov.au/members/former/bio?id=1626421317,Thuringowa,17 Feb 2001 - 7 Feb 2004,
"PHILLIPS, George",https://www.parliament.qld.gov.au/members/former/bio?id=2110734392,Carpentaria,18 Apr 1893 - 10 Mar 1896,2 June 1921
"PHILP, Sir Robert",https://www.parliament.qld.gov.au/members/former/bio?id=4245772873,"Musgrave, Townsville",5 Jan 1886 - 22 May 1915,17 June 1922
"PIE, Arthur Bruce",https://www.parliament.qld.gov.au/members/former/bio?id=627251936,"Hamilton, Kedron, Windsor",29 Mar 1941 - 6 Jan 1951,31 July 1962
"PILBEAM, Reginald Byron Jarvis",https://www.parliament.qld.gov.au/members/former/bio?id=3756008180,Rockhampton South,28 May 1960 - 17 May 1969,31 July 1999
"PITT, Hon Frederick Warren, AM",https://www.parliament.qld.gov.au/members/former/bio?id=4076904341,Mulgrave,2 Dec 1989 - 20 Mar 2009,
"PIZZEY, Jack Charles Allan",https://www.parliament.qld.gov.au/members/former/bio?id=4103776420,Isis,29 Apr 1950 - 31 Jul 1968,31 July 1968
"PLANT, Edmund Harris Thornburgh",https://www.parliament.qld.gov.au/members/former/bio?id=2030336427,Legislative Council,8 Jun 1905 - 23 Mar 1922,28 April 1926
"PLUNKETT, Thomas Flood",https://www.parliament.qld.gov.au/members/former/bio?id=2116108569,"Albert, Darlington",11 May 1929 - 3 Aug 1957,24 December 1957
"PLUNKETT, Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=3480311213,Albert,17 May 1888 - 5 Feb 1908,2 September 1913
"POLLOCK, George",https://www.parliament.qld.gov.au/members/former/bio?id=3158330098,Gregory,18 Aug 1915 - 24 Mar 1939,24 March 1939
"POOLE, Robert Lindsay",https://www.parliament.qld.gov.au/members/former/bio?id=1198001579,Gaven,17 Feb 2001 - 28 Feb 2006,
"PORTER, Hon Charles Robert",https://www.parliament.qld.gov.au/members/former/bio?id=1532952600,Toowong,28 May 1966 - 29 Nov 1980,14 April 2004
"POWELL, Hon Lionel William",https://www.parliament.qld.gov.au/members/former/bio?id=3229813721,Isis,7 Dec 1974 - 31 Jul 1989,
"POWER, Francis Isidore",https://www.parliament.qld.gov.au/members/former/bio?id=714937151,Legislative Council,15 Jul 1901 - 24 Jun 1912,24 June 1912
"POWER, Laurel Jean",https://www.parliament.qld.gov.au/members/former/bio?id=1072520015,Mansfield,2 Dec 1989 - 15 Jul 1995,
"POWER, Hon William Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=1372958879,Baroona,11 May 1935 - 28 May 1960,29 May 1974
"POWER, William Grene",https://www.parliament.qld.gov.au/members/former/bio?id=1667380607,Legislative Council,19 Sep 1883 - 14 Aug 1903,14 August 1903
"POWERS, Sir Charles",https://www.parliament.qld.gov.au/members/former/bio?id=525128343,"Burrum, Maryborough",12 May 1888 - 21 Mar 1896,24 April 1939
"PRATT, Dorothy Ruth",https://www.parliament.qld.gov.au/members/former/bio?id=2763339610,"Barambah, Nanango",13 Jun 1998 - 23 Mar 2012,
"PRENTICE, Ian George",https://www.parliament.qld.gov.au/members/former/bio?id=718676672,Toowong,29 Nov 1980 - 27 Oct 1983,
"PRENZLER, Dr Peter Ross",https://www.parliament.qld.gov.au/members/former/bio?id=1972466356,Lockyer,13 Jun 1998 - 17 Feb 2001,
"PREST, William George",https://www.parliament.qld.gov.au/members/former/bio?id=86521790,Port Curtis,29 May 1976 - 19 Sep 1992,8 December 2012
"PRICE, Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=4294303031,Wide Bay,23 Nov 1878 - 7 Sep 1883,4 April 1906
"PRICE, William Norris James",https://www.parliament.qld.gov.au/members/former/bio?id=1142048270,Mount Isa,22 Oct 1983 - 1 Nov 1986,
"PRING, Ratcliffe",https://www.parliament.qld.gov.au/members/former/bio?id=1353599440,"Brisbane City, Burnett, Carnarvon, Eastern Downs, Fortitude Valley, Ipswich, Legislative Council, Town Of Brisbane",27 Apr 1860 - 28 May 1879,25 March 1885
"PRITCHARD, Alexander Brown",https://www.parliament.qld.gov.au/members/former/bio?id=1568145562,Town Of Brisbane,22 Jun 1867 - 26 Sep 1868,1 December 1898
"PUCCI, Michael Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=2942162060,Logan,24 Mar 2012 - 30 Jan 2015,
"PUGH, Theophilus Parsons",https://www.parliament.qld.gov.au/members/former/bio?id=2928515732,Town Of Brisbane,30 May 1863 - 30 Jan 1869,14 March 1896
"PURCELL, Patrick Douglas",https://www.parliament.qld.gov.au/members/former/bio?id=3863019331,Bulimba,19 Sep 1992 - 20 Mar 2009,
"PURNELL, Ernest Bracher",https://www.parliament.qld.gov.au/members/former/bio?id=495183484,Legislative Council,12 Oct 1917 - 23 Mar 1922,25 July 1954
"PYKE, Peter Malcolm",https://www.parliament.qld.gov.au/members/former/bio?id=3232255128,Mount Ommaney,19 Sep 1992 - 15 Jul 1995,
"PYNE, Robert John",https://www.parliament.qld.gov.au/members/former/bio?id=836077751,Cairns,31 Jan 2015 - 24 Nov 2017,
"QUINN, Robert Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=3735038700,"Merrimac, Robina, South Coast",2 Dec 1989 - 9 Sep 2006,
"RADKE, Theodore Paul",https://www.parliament.qld.gov.au/members/former/bio?id=2330336325,Greenslopes,15 Jul 1995 - 13 Jun 1998,
"RAE, Hon Sir Wallace Alexander Ramsay, KBE",https://www.parliament.qld.gov.au/members/former/bio?id=1709262442,Gregory,5 Oct 1957 - 7 Dec 1974,18 March 2006
"RAFF, Alexander",https://www.parliament.qld.gov.au/members/former/bio?id=294351438,Legislative Council,14 Aug 1884 - 10 Jun 1910,26 January 1914
"RAFF, George",https://www.parliament.qld.gov.au/members/former/bio?id=4106498342,Town Of Brisbane,27 Apr 1860 - 22 Jun 1867,28 August 1889
"RAMSAY, Robert",https://www.parliament.qld.gov.au/members/former/bio?id=1279076158,"Legislative Council, Western Downs",18 Jun 1867 - 14 Jun 1877,5 July 1910
"RAMSDEN, Rev Samuel Raymond",https://www.parliament.qld.gov.au/members/former/bio?id=3905153268,Merthyr,3 Aug 1957 - 30 Jun 1971,1 July 1986
"RANDELL, James Henry",https://www.parliament.qld.gov.au/members/former/bio?id=1716524303,Mirani,29 Nov 1980 - 31 Mar 1994,21 June 2016
"RANKIN, Colin Dunlop Wilson",https://www.parliament.qld.gov.au/members/former/bio?id=1382469817,Burrum,17 Jun 1905 - 16 Mar 1918,2 November 1940
"RAPPOLT, Charles Robert",https://www.parliament.qld.gov.au/members/former/bio?id=1795779104,Mulgrave,13 Jun 1998 - 4 Nov 1998,2 August 1999
"RASEY, Thomas William",https://www.parliament.qld.gov.au/members/former/bio?id=3243855951,Windsor,29 Apr 1950 - 3 Aug 1957,27 April 1989
"RAWLINGS, William Henley",https://www.parliament.qld.gov.au/members/former/bio?id=4251517719,"Legislative Council, Woothakata",18 Apr 1893 - 5 Aug 1906,5 August 1906
"REA, William",https://www.parliament.qld.gov.au/members/former/bio?id=1650179703,Rockhampton,14 Nov 1878 - 21 Sep 1881,21 September 1881
"REDWOOD, Vernon Charles",https://www.parliament.qld.gov.au/members/former/bio?id=2659520887,Drayton & Toowoomba,18 May 1907 - 2 Oct 1909,15 February 1954
"REED, George McCullough",https://www.parliament.qld.gov.au/members/former/bio?id=627236730,Ipswich,4 Aug 1866 - 19 Jun 1867,13 November 1898
"REEVES, Hon Philip Gerard",https://www.parliament.qld.gov.au/members/former/bio?id=2904914481,Mansfield,13 Jun 1998 - 23 Mar 2012,
"REID, Matthew",https://www.parliament.qld.gov.au/members/former/bio?id=2680544113,"Enoggera, Toowong",18 Apr 1893 - 11 May 1902,28 August 1947
