name,page,electorate,from_to,died
"HOUGHTON, Hon James Edward Hiram",https://www.parliament.qld.gov.au/members/former/bio?id=3302702118,Redcliffe,28 May 1960 - 7 Aug 1979,21 January 1985
"HOUSTON, John William, AM",https://www.parliament.qld.gov.au/members/former/bio?id=2438409542,Bulimba,3 Aug 1957 - 25 Jul 1980,27 October 2008
"HUGHES, Clive Melwyn",https://www.parliament.qld.gov.au/members/former/bio?id=3319441830,Kurilpa,28 May 1960 - 7 Dec 1974,19 October 2014
"HUNGERFORD, Harold Mortimer",https://www.parliament.qld.gov.au/members/former/bio?id=2022800627,Balonne,17 May 1969 - 10 Jan 1972,10 January 1972
"HUNTER, David",https://www.parliament.qld.gov.au/members/former/bio?id=2102056983,Wooloongabba,5 Feb 1908 - 27 Apr 1912,20 September 1927
"HUNTER, Ernest Charles James",https://www.parliament.qld.gov.au/members/former/bio?id=2813562361,Burke,19 May 1888 - 24 Jun 1890,14 August 1944
"HUNTER, Hon John McEwan",https://www.parliament.qld.gov.au/members/former/bio?id=565314650,Maranoa,18 May 1907 - 22 Oct 1919,18 April 1940
"HURLEY, John",https://www.parliament.qld.gov.au/members/former/bio?id=3427913571,Maryborough,17 Aug 1883 - 8 Jul 1884,10 December 1911
"HUXHAM, John Saunders",https://www.parliament.qld.gov.au/members/former/bio?id=3901754439,"Brisbane South, Buranda",5 Feb 1908 - 31 Jul 1924,4 August 1949
"HYND, Thomas Simpson",https://www.parliament.qld.gov.au/members/former/bio?id=928174820,Nerang,1 Nov 1986 - 2 Dec 1989,20 October 2011
"HYNE, Richard Mathew",https://www.parliament.qld.gov.au/members/former/bio?id=3473499528,Maryborough,5 May 1888 - 29 Apr 1893,5 July 1902
"HYNES, Maurice Patrick",https://www.parliament.qld.gov.au/members/former/bio?id=3422746967,Townsville,12 May 1923 - 27 Mar 1939,27 March 1939
"INCH, Alexander James",https://www.parliament.qld.gov.au/members/former/bio?id=2107329697,"Burke, Mount Isa",28 May 1960 - 7 Dec 1974,3 July 1994
"INGRAM, Walter Charles",https://www.parliament.qld.gov.au/members/former/bio?id=3880525799,Keppel,15 Mar 1944 - 24 Jul 1952,24 July 1952
"INNES, John Angus Mackenzie, MBE",https://www.parliament.qld.gov.au/members/former/bio?id=232608270,Sherwood,25 Nov 1978 - 13 May 1990,
"ISAAC, Frederick Neville",https://www.parliament.qld.gov.au/members/former/bio?id=286132946,Legislative Council,25 Aug 1864 - 13 Jul 1865,12 July 1865
"ISAMBERT, Jean Baptiste Louis",https://www.parliament.qld.gov.au/members/former/bio?id=1765930028,Rosewood,17 Jul 1882 - 25 Oct 1892,22 February 1906
"IVORY, Francis Jeffrey",https://www.parliament.qld.gov.au/members/former/bio?id=1950247858,"Burnett, Legislative Council",29 Dec 1873 - 1 Jul 1881,21 January 1896
"JACKSON, George",https://www.parliament.qld.gov.au/members/former/bio?id=30070343,Kennedy,13 May 1893 - 2 Oct 1909,12 February 1938
"JAMES, Alfred Arthur",https://www.parliament.qld.gov.au/members/former/bio?id=886121798,Logan,16 Mar 1918 - 9 Oct 1920,12 February 1938
"JAMIESON, Charles Henry",https://www.parliament.qld.gov.au/members/former/bio?id=914186952,Lockyer,11 May 1929 - 11 Jun 1932,26 July 1959
